[
  { time: 768, lane: 1 }
  { time: 816, lane: 0 }
  { time: 864, lane: 1 }
  { time: 912, lane: 0 }
  { time: 960, lane: 1 }
  { time: 1008, lane: 2 }
  { time: 1056, lane: 1 }
  { time: 1104, lane: 2 }
  { time: 1152, lane: 3 }
  { time: 1536, lane: 1 }
  { time: 1584, lane: 0 }
  { time: 1632, lane: 1 }
  { time: 1680, lane: 0 }
  { time: 1728, lane: 1 }
  { time: 1776, lane: 2 }
  { time: 1824, lane: 1 }
  { time: 1872, lane: 2 }
  { time: 1920, lane: 1 }
  { time: 2304, lane: 1 }
  { time: 2352, lane: 0 }
  { time: 2400, lane: 1 }
  { time: 2448, lane: 0 }
  { time: 2496, lane: 1 }
  { time: 2544, lane: 2 }
  { time: 2592, lane: 1 }
  { time: 2640, lane: 2 }
  { time: 3072, lane: 1 }
  { time: 3120, lane: 0 }
  { time: 3168, lane: 1 }
  { time: 3216, lane: 0 }
  { time: 3264, lane: 1 }
  { time: 3312, lane: 2 }
  { time: 3360, lane: 1 }
  { time: 3408, lane: 2 }
  { time: 3456, lane: 3 }
  { time: 3840, lane: 2 }
  { time: 3888, lane: 2 }
  { time: 3984, lane: 2 }
  { time: 4080, lane: 2 }
  { time: 4128, lane: 2 }
  { time: 4176, lane: 2 }
  { time: 4272, lane: 2 }
  { time: 4368, lane: 2 }
  { time: 4416, lane: 3 }
  { time: 4464, lane: 2 }
  { time: 4560, lane: 3 }
  { time: 4608, lane: 1 }
  { time: 4656, lane: 1 }
  { time: 4704, lane: 3 }
  { time: 4752, lane: 1 }
  { time: 4800, lane: 3 }
  { time: 4848, lane: 1 }
  { time: 4896, lane: 1 }
  { time: 4944, lane: 1 }
  { time: 4992, lane: 3 }
  { time: 5040, lane: 1 }
  { time: 5088, lane: 3 }
  { time: 5136, lane: 1 }
  { time: 5184, lane: 2 }
  { time: 5232, lane: 1 }
  { time: 5280, lane: 3 }
  { time: 5328, lane: 2 }
  { time: 5376, lane: 1 }
  { time: 5424, lane: 1 }
  { time: 5472, lane: 3 }
  { time: 5520, lane: 1 }
  { time: 5568, lane: 3 }
  { time: 5616, lane: 1 }
  { time: 5664, lane: 1 }
  { time: 5712, lane: 1 }
  { time: 5760, lane: 3 }
  { time: 5808, lane: 1 }
  { time: 5856, lane: 3 }
  { time: 5904, lane: 1 }
  { time: 5952, lane: 2 }
  { time: 6000, lane: 1 }
  { time: 6048, lane: 3 }
  { time: 6096, lane: 2 }
  { time: 6144, lane: 3 }
  { time: 6192, lane: 1 }
  { time: 6240, lane: 3 }
  { time: 6288, lane: 1 }
  { time: 6336, lane: 1 }
  { time: 6432, lane: 1 }
  { time: 6528, lane: 0 }
  { time: 6576, lane: 0 }
  { time: 6624, lane: 0 }
  { time: 6672, lane: 0 }
  { time: 6720, lane: 0 }
  { time: 6768, lane: 0 }
  { time: 6816, lane: 0 }
  { time: 6864, lane: 0 }
  { time: 6912, lane: 2 }
  { time: 7296, lane: 2 }
  { time: 7392, lane: 3 }
  { time: 7488, lane: 2 }
  { time: 7680, lane: 0 }
  { time: 8064, lane: 3 }
  { time: 8256, lane: 2 }
  { time: 8448, lane: 3 }
  { time: 9024, lane: 2 }
  { time: 9120, lane: 3 }
  { time: 9216, lane: 2 }
  { time: 9264, lane: 2 }
  { time: 9312, lane: 2 }
  { time: 9360, lane: 2 }
  { time: 9408, lane: 2 }
  { time: 9456, lane: 2 }
  { time: 9504, lane: 2 }
  { time: 9552, lane: 2 }
  { time: 9600, lane: 2 }
  { time: 9648, lane: 2 }
  { time: 9696, lane: 2 }
  { time: 9744, lane: 2 }
  { time: 9792, lane: 2 }
  { time: 9840, lane: 2 }
  { time: 9888, lane: 2 }
  { time: 9936, lane: 2 }
  { time: 10464, lane: 3 }
  { time: 10560, lane: 1 }
  { time: 10752, lane: 2 }
  { time: 11136, lane: 2 }
  { time: 11232, lane: 1 }
  { time: 11328, lane: 0 }
  { time: 11520, lane: 2 }
  { time: 11904, lane: 2 }
  { time: 12000, lane: 3 }
  { time: 12096, lane: 2 }
  { time: 12192, lane: 0 }
  { time: 12288, lane: 0 }
  { time: 13056, lane: 1 }
  { time: 13056, lane: 2 }
  { time: 13152, lane: 1 }
  { time: 13152, lane: 2 }
  { time: 13248, lane: 1 }
  { time: 13344, lane: 1 }
  { time: 13440, lane: 1 }
  { time: 13440, lane: 2 }
  { time: 13536, lane: 1 }
  { time: 13632, lane: 1 }
  { time: 13632, lane: 2 }
  { time: 13728, lane: 1 }
  { time: 13728, lane: 2 }
  { time: 13824, lane: 1 }
  { time: 13824, lane: 3 }
  { time: 13920, lane: 1 }
  { time: 13920, lane: 3 }
  { time: 14016, lane: 1 }
  { time: 14112, lane: 1 }
  { time: 14208, lane: 1 }
  { time: 14208, lane: 3 }
  { time: 14304, lane: 1 }
  { time: 14400, lane: 1 }
  { time: 14400, lane: 3 }
  { time: 14496, lane: 1 }
  { time: 14496, lane: 3 }
  { time: 14592, lane: 2 }
  { time: 14592, lane: 3 }
  { time: 14688, lane: 2 }
  { time: 14688, lane: 3 }
  { time: 14784, lane: 2 }
  { time: 14880, lane: 2 }
  { time: 14976, lane: 2 }
  { time: 14976, lane: 3 }
  { time: 15072, lane: 2 }
  { time: 15168, lane: 2 }
  { time: 15168, lane: 3 }
  { time: 15264, lane: 2 }
  { time: 15264, lane: 3 }
  { time: 15360, lane: 2 }
  { time: 15552, lane: 2 }
  { time: 15744, lane: 2 }
  { time: 15936, lane: 2 }
  { time: 16128, lane: 0 }
  { time: 16128, lane: 1 }
  { time: 16416, lane: 0 }
  { time: 16416, lane: 1 }
  { time: 16704, lane: 0 }
  { time: 16704, lane: 1 }
  { time: 16896, lane: 0 }
  { time: 16896, lane: 1 }
  { time: 17280, lane: 0 }
  { time: 17280, lane: 2 }
  { time: 17664, lane: 0 }
  { time: 17664, lane: 1 }
  { time: 17952, lane: 0 }
  { time: 17952, lane: 1 }
  { time: 18240, lane: 0 }
  { time: 18240, lane: 1 }
  { time: 18432, lane: 0 }
  { time: 18432, lane: 1 }
  { time: 18816, lane: 0 }
  { time: 18816, lane: 1 }
  { time: 19200, lane: 1 }
  { time: 19200, lane: 2 }
  { time: 19296, lane: 1 }
  { time: 19296, lane: 2 }
  { time: 19392, lane: 2 }
  { time: 19488, lane: 2 }
  { time: 19584, lane: 3 }
  { time: 19776, lane: 2 }
  { time: 19968, lane: 1 }
  { time: 19968, lane: 3 }
  { time: 20064, lane: 1 }
  { time: 20064, lane: 3 }
  { time: 20160, lane: 2 }
  { time: 20256, lane: 2 }
  { time: 20352, lane: 3 }
  { time: 20544, lane: 2 }
  { time: 20736, lane: 2 }
  { time: 20736, lane: 3 }
  { time: 20832, lane: 2 }
  { time: 20832, lane: 3 }
  { time: 20928, lane: 2 }
  { time: 21024, lane: 2 }
  { time: 21120, lane: 3 }
  { time: 21312, lane: 2 }
  { time: 21504, lane: 2 }
  { time: 21888, lane: 1 }
  { time: 22080, lane: 2 }
