[
  { time: 1200, lane: 0 }
  { time: 1248, lane: 3 }
  { time: 1296, lane: 0 }
  { time: 1392, lane: 0 }
  { time: 1440, lane: 1 }
  { time: 1488, lane: 0 }
  { time: 1536, lane: 2 }
  { time: 1584, lane: 0 }
  { time: 1632, lane: 3 }
  { time: 1680, lane: 0 }
  { time: 1776, lane: 0 }
  { time: 1824, lane: 3 }
  { time: 1872, lane: 0 }
  { time: 1968, lane: 0 }
  { time: 2016, lane: 2 }
  { time: 2064, lane: 0 }
  { time: 2112, lane: 3 }
  { time: 2160, lane: 0 }
  { time: 2208, lane: 1 }
  { time: 2256, lane: 0 }
  { time: 2352, lane: 0 }
  { time: 2400, lane: 2 }
  { time: 2448, lane: 0 }
  { time: 2496, lane: 3 }
  { time: 2544, lane: 0 }
  { time: 2592, lane: 1 }
  { time: 2640, lane: 0 }
  { time: 2688, lane: 2 }
  { time: 2736, lane: 0 }
  { time: 2784, lane: 3 }
  { time: 2832, lane: 0 }
  { time: 2928, lane: 0 }
  { time: 2976, lane: 1 }
  { time: 3024, lane: 0 }
  { time: 3072, lane: 2 }
  { time: 3120, lane: 0 }
  { time: 3168, lane: 3 }
  { time: 3216, lane: 0 }
  { time: 3312, lane: 0 }
  { time: 3360, lane: 3 }
  { time: 3408, lane: 0 }
  { time: 3504, lane: 0 }
  { time: 3552, lane: 2 }
  { time: 3600, lane: 0 }
  { time: 3648, lane: 3 }
  { time: 3696, lane: 0 }
  { time: 3744, lane: 1 }
  { time: 3792, lane: 0 }
  { time: 3888, lane: 0 }
  { time: 3936, lane: 2 }
  { time: 3984, lane: 0 }
  { time: 4032, lane: 3 }
  { time: 4080, lane: 0 }
  { time: 4128, lane: 1 }
  { time: 4176, lane: 0 }
  { time: 4224, lane: 2 }
  { time: 4272, lane: 0 }
  { time: 4320, lane: 3 }
  { time: 4368, lane: 0 }
  { time: 4464, lane: 0 }
  { time: 4512, lane: 1 }
  { time: 4560, lane: 0 }
  { time: 4608, lane: 2 }
  { time: 4656, lane: 0 }
  { time: 4704, lane: 3 }
  { time: 4752, lane: 0 }
  { time: 4848, lane: 0 }
  { time: 4896, lane: 3 }
  { time: 4944, lane: 0 }
  { time: 5040, lane: 0 }
  { time: 5088, lane: 2 }
  { time: 5136, lane: 0 }
  { time: 5184, lane: 3 }
  { time: 5232, lane: 0 }
  { time: 5280, lane: 1 }
  { time: 5328, lane: 0 }
  { time: 5424, lane: 0 }
  { time: 5472, lane: 2 }
  { time: 5520, lane: 0 }
  { time: 5568, lane: 3 }
  { time: 5616, lane: 0 }
  { time: 5664, lane: 1 }
  { time: 5712, lane: 0 }
  { time: 5760, lane: 2 }
  { time: 5808, lane: 0 }
  { time: 5856, lane: 3 }
  { time: 5904, lane: 0 }
  { time: 6000, lane: 0 }
  { time: 6048, lane: 1 }
  { time: 6096, lane: 0 }
  { time: 6144, lane: 2 }
  { time: 6192, lane: 0 }
  { time: 6240, lane: 3 }
  { time: 6288, lane: 0 }
  { time: 6384, lane: 0 }
  { time: 6432, lane: 3 }
  { time: 6480, lane: 0 }
  { time: 6576, lane: 0 }
  { time: 6624, lane: 2 }
  { time: 6672, lane: 0 }
  { time: 6720, lane: 3 }
  { time: 6768, lane: 0 }
  { time: 6816, lane: 1 }
  { time: 6864, lane: 0 }
  { time: 6960, lane: 0 }
  { time: 7008, lane: 2 }
  { time: 7056, lane: 0 }
  { time: 7104, lane: 3 }
  { time: 7152, lane: 0 }
  { time: 7200, lane: 1 }
  { time: 7248, lane: 0 }
  { time: 7296, lane: 2 }
  { time: 7344, lane: 0 }
  { time: 7392, lane: 3 }
  { time: 7440, lane: 0 }
  { time: 7536, lane: 0 }
  { time: 7584, lane: 1 }
  { time: 7632, lane: 0 }
  { time: 7680, lane: 2 }
  { time: 7728, lane: 0 }
  { time: 7776, lane: 3 }
  { time: 7824, lane: 0 }
  { time: 7920, lane: 0 }
  { time: 7968, lane: 3 }
  { time: 8016, lane: 0 }
  { time: 8112, lane: 0 }
  { time: 8160, lane: 2 }
  { time: 8208, lane: 0 }
  { time: 8256, lane: 3 }
  { time: 8304, lane: 0 }
  { time: 8352, lane: 1 }
  { time: 8400, lane: 0 }
  { time: 8496, lane: 0 }
  { time: 8544, lane: 2 }
  { time: 8592, lane: 0 }
  { time: 8640, lane: 3 }
  { time: 8688, lane: 0 }
  { time: 8736, lane: 1 }
  { time: 8784, lane: 0 }
  { time: 8832, lane: 2 }
  { time: 8880, lane: 0 }
  { time: 8928, lane: 3 }
  { time: 8976, lane: 0 }
  { time: 9072, lane: 0 }
  { time: 9120, lane: 1 }
  { time: 9168, lane: 0 }
  { time: 9216, lane: 2 }
  { time: 9264, lane: 0 }
  { time: 9312, lane: 3 }
  { time: 9360, lane: 0 }
  { time: 9456, lane: 0 }
  { time: 9504, lane: 3 }
  { time: 9552, lane: 0 }
  { time: 9648, lane: 0 }
  { time: 9696, lane: 2 }
  { time: 9744, lane: 0 }
  { time: 9792, lane: 3 }
  { time: 9840, lane: 0 }
  { time: 9888, lane: 1 }
  { time: 9936, lane: 0 }
  { time: 10032, lane: 0 }
  { time: 10080, lane: 2 }
  { time: 10128, lane: 0 }
  { time: 10176, lane: 3 }
  { time: 10224, lane: 0 }
  { time: 10272, lane: 1 }
  { time: 10320, lane: 0 }
  { time: 10368, lane: 2 }
  { time: 10416, lane: 0 }
  { time: 10464, lane: 3 }
  { time: 10512, lane: 0 }
  { time: 10608, lane: 0 }
  { time: 10656, lane: 1 }
  { time: 10704, lane: 0 }
  { time: 10752, lane: 2 }
  { time: 10800, lane: 0 }
  { time: 10848, lane: 3 }
  { time: 10896, lane: 0 }
  { time: 10992, lane: 0 }
  { time: 11040, lane: 3 }
  { time: 11088, lane: 0 }
  { time: 11184, lane: 0 }
  { time: 11232, lane: 2 }
  { time: 11280, lane: 0 }
  { time: 11328, lane: 3 }
  { time: 11376, lane: 0 }
  { time: 11424, lane: 1 }
  { time: 11472, lane: 0 }
  { time: 11568, lane: 0 }
  { time: 11616, lane: 2 }
  { time: 11664, lane: 0 }
  { time: 11712, lane: 3 }
  { time: 11760, lane: 0 }
  { time: 11808, lane: 1 }
  { time: 11856, lane: 0 }
  { time: 11904, lane: 2 }
  { time: 11952, lane: 0 }
  { time: 12000, lane: 3 }
  { time: 12048, lane: 0 }
  { time: 12144, lane: 0 }
  { time: 12192, lane: 1 }
  { time: 12240, lane: 0 }
  { time: 12288, lane: 2 }
  { time: 12336, lane: 0 }
  { time: 12384, lane: 3 }
  { time: 12432, lane: 0 }
  { time: 12528, lane: 0 }
  { time: 12576, lane: 3 }
  { time: 12624, lane: 0 }
  { time: 12720, lane: 3 }
  { time: 12768, lane: 2 }
  { time: 12816, lane: 1 }
  { time: 12864, lane: 0 }
  { time: 12912, lane: 1 }
  { time: 12960, lane: 2 }
  { time: 13008, lane: 1 }
  { time: 13056, lane: 2 }
  { time: 13104, lane: 3 }
  { time: 13200, lane: 3 }
  { time: 13248, lane: 2 }
  { time: 13296, lane: 1 }
  { time: 13344, lane: 0 }
  { time: 13392, lane: 1 }
  { time: 13440, lane: 2 }
  { time: 13488, lane: 2 }
  { time: 13536, lane: 2 }
  { time: 13584, lane: 2 }
  { time: 13632, lane: 0 }
  { time: 13680, lane: 0 }
  { time: 13728, lane: 2 }
  { time: 13776, lane: 2 }
  { time: 13824, lane: 2 }
  { time: 13872, lane: 2 }
  { time: 13920, lane: 0 }
  { time: 13968, lane: 0 }
  { time: 14016, lane: 2 }
  { time: 14064, lane: 2 }
  { time: 14112, lane: 0 }
  { time: 14160, lane: 0 }
  { time: 14208, lane: 2 }
  { time: 14256, lane: 2 }
  { time: 14304, lane: 2 }
  { time: 14352, lane: 2 }
  { time: 14400, lane: 0 }
  { time: 14448, lane: 0 }
  { time: 14496, lane: 2 }
  { time: 14544, lane: 2 }
  { time: 14592, lane: 2 }
  { time: 14640, lane: 2 }
  { time: 14688, lane: 0 }
