[
  { time: 488, lane: 2 }
  { time: 488, lane: 3 }
  { time: 576, lane: 3 }
  { time: 720, lane: 3 }
  { time: 760, lane: 2 }
  { time: 1000, lane: 2 }
  { time: 1048, lane: 0 }
  { time: 1048, lane: 1 }
  { time: 1240, lane: 0 }
  { time: 1240, lane: 1 }
  { time: 1240, lane: 2 }
  { time: 1296, lane: 3 }
  { time: 1376, lane: 2 }
  { time: 1432, lane: 0 }
  { time: 1480, lane: 3 }
  { time: 1528, lane: 1 }
  { time: 1624, lane: 0 }
  { time: 1768, lane: 3 }
  { time: 1804, lane: 2 }
  { time: 1852, lane: 2 }
  { time: 1944, lane: 1 }
  { time: 2008, lane: 0 }
  { time: 2008, lane: 1 }
  { time: 2088, lane: 1 }
  { time: 2152, lane: 2 }
  { time: 2152, lane: 3 }
  { time: 2280, lane: 2 }
  { time: 2424, lane: 3 }
  { time: 2696, lane: 1 }
  { time: 2744, lane: 2 }
  { time: 2744, lane: 3 }
  { time: 2840, lane: 1 }
  { time: 2840, lane: 2 }
  { time: 2936, lane: 1 }
  { time: 2936, lane: 3 }
  { time: 3048, lane: 0 }
  { time: 3088, lane: 0 }
  { time: 3088, lane: 1 }
  { time: 3320, lane: 0 }
  { time: 3320, lane: 1 }
  { time: 3504, lane: 1 }
  { time: 3504, lane: 2 }
  { time: 3504, lane: 3 }
  { time: 3600, lane: 3 }
  { time: 3744, lane: 3 }
  { time: 3784, lane: 2 }
  { time: 4024, lane: 2 }
  { time: 4072, lane: 0 }
  { time: 4072, lane: 1 }
  { time: 4264, lane: 0 }
  { time: 4264, lane: 1 }
  { time: 4264, lane: 2 }
  { time: 4312, lane: 3 }
  { time: 4400, lane: 2 }
  { time: 4448, lane: 0 }
  { time: 4496, lane: 3 }
  { time: 4544, lane: 1 }
  { time: 4640, lane: 0 }
  { time: 4792, lane: 3 }
  { time: 4824, lane: 2 }
  { time: 4872, lane: 2 }
  { time: 4968, lane: 1 }
  { time: 5024, lane: 0 }
  { time: 5024, lane: 1 }
  { time: 5104, lane: 1 }
  { time: 5168, lane: 2 }
  { time: 5168, lane: 3 }
  { time: 5304, lane: 2 }
  { time: 5448, lane: 3 }
  { time: 5720, lane: 1 }
  { time: 5768, lane: 2 }
  { time: 5768, lane: 3 }
  { time: 5856, lane: 1 }
  { time: 5856, lane: 2 }
  { time: 5960, lane: 1 }
  { time: 5960, lane: 3 }
