[
  { time: 192, lane: 1 }
  { time: 192, lane: 2 }
  { time: 192, lane: 3 }
  { time: 944, lane: 3 }
  { time: 1344, lane: 1 }
  { time: 1344, lane: 2 }
  { time: 2304, lane: 3 }
  { time: 2496, lane: 0 }
  { time: 2496, lane: 1 }
  { time: 2496, lane: 2 }
  { time: 3072, lane: 2 }
  { time: 3648, lane: 0 }
  { time: 4776, lane: 1 }
  { time: 4776, lane: 2 }
  { time: 4776, lane: 3 }
  { time: 5556, lane: 3 }
  { time: 5936, lane: 1 }
  { time: 5936, lane: 3 }
  { time: 6528, lane: 3 }
  { time: 7080, lane: 1 }
  { time: 7080, lane: 2 }
  { time: 8040, lane: 3 }
  { time: 8248, lane: 0 }
  { time: 8248, lane: 1 }
  { time: 9368, lane: 2 }
  { time: 9516, lane: 3 }
  { time: 9756, lane: 1 }
  { time: 9864, lane: 0 }
  { time: 10140, lane: 2 }
  { time: 10140, lane: 3 }
  { time: 10368, lane: 2 }
  { time: 10464, lane: 0 }
  { time: 10680, lane: 0 }
  { time: 11408, lane: 2 }
  { time: 11468, lane: 3 }
  { time: 11552, lane: 3 }
  { time: 11660, lane: 1 }
  { time: 12000, lane: 1 }
  { time: 12060, lane: 2 }
  { time: 12144, lane: 2 }
  { time: 12288, lane: 0 }
  { time: 13956, lane: 2 }
  { time: 14172, lane: 0 }
  { time: 14352, lane: 0 }
  { time: 14460, lane: 3 }
  { time: 14712, lane: 1 }
  { time: 14808, lane: 3 }
  { time: 15048, lane: 3 }
  { time: 15288, lane: 0 }
  { time: 15996, lane: 1 }
  { time: 16080, lane: 2 }
  { time: 16164, lane: 3 }
  { time: 16284, lane: 3 }
  { time: 16728, lane: 3 }
  { time: 16824, lane: 1 }
  { time: 16824, lane: 2 }
  { time: 18600, lane: 1 }
  { time: 18600, lane: 2 }
  { time: 18824, lane: 1 }
  { time: 18936, lane: 2 }
  { time: 19160, lane: 2 }
  { time: 19160, lane: 3 }
  { time: 19504, lane: 0 }
  { time: 19776, lane: 1 }
  { time: 19776, lane: 2 }
  { time: 20016, lane: 2 }
  { time: 20352, lane: 2 }
  { time: 20772, lane: 3 }
  { time: 20940, lane: 1 }
  { time: 20940, lane: 2 }
  { time: 21144, lane: 0 }
  { time: 21264, lane: 0 }
