[
  { time: 3600, lane: 0 }
  { time: 3840, lane: 2 }
  { time: 4080, lane: 0 }
  { time: 4320, lane: 1 }
  { time: 4560, lane: 2 }
  { time: 4800, lane: 1 }
  { time: 5040, lane: 0 }
  { time: 5280, lane: 3 }
  { time: 5520, lane: 0 }
  { time: 5760, lane: 1 }
  { time: 6240, lane: 1 }
  { time: 6480, lane: 0 }
  { time: 6720, lane: 2 }
  { time: 6960, lane: 0 }
  { time: 7200, lane: 1 }
  { time: 7440, lane: 1 }
  { time: 7680, lane: 2 }
  { time: 7920, lane: 0 }
  { time: 8160, lane: 1 }
  { time: 8400, lane: 2 }
  { time: 8640, lane: 2 }
  { time: 8880, lane: 1 }
  { time: 9120, lane: 3 }
  { time: 9360, lane: 1 }
  { time: 9600, lane: 2 }
  { time: 10080, lane: 2 }
  { time: 10320, lane: 1 }
  { time: 10560, lane: 2 }
  { time: 10800, lane: 0 }
  { time: 11040, lane: 1 }
  { time: 11280, lane: 1 }
  { time: 11520, lane: 2 }
  { time: 11760, lane: 0 }
  { time: 12000, lane: 1 }
  { time: 12240, lane: 2 }
  { time: 12480, lane: 1 }
  { time: 12720, lane: 0 }
  { time: 12960, lane: 3 }
  { time: 13200, lane: 0 }
  { time: 13440, lane: 1 }
  { time: 13920, lane: 1 }
  { time: 14160, lane: 0 }
  { time: 14400, lane: 2 }
  { time: 14640, lane: 0 }
  { time: 14880, lane: 1 }
  { time: 15120, lane: 1 }
  { time: 15360, lane: 2 }
  { time: 15600, lane: 0 }
  { time: 15840, lane: 1 }
  { time: 16080, lane: 2 }
  { time: 16320, lane: 2 }
  { time: 16560, lane: 1 }
  { time: 16800, lane: 3 }
  { time: 17040, lane: 1 }
  { time: 17280, lane: 2 }
  { time: 17760, lane: 2 }
  { time: 18000, lane: 1 }
  { time: 18240, lane: 2 }
  { time: 18480, lane: 0 }
  { time: 18720, lane: 1 }
  { time: 18960, lane: 1 }
  { time: 19200, lane: 2 }
  { time: 19440, lane: 0 }
  { time: 19680, lane: 1 }
  { time: 19920, lane: 2 }
  { time: 20160, lane: 1 }
  { time: 20400, lane: 0 }
  { time: 20640, lane: 3 }
  { time: 20880, lane: 0 }
  { time: 21120, lane: 1 }
  { time: 21600, lane: 1 }
  { time: 21840, lane: 0 }
  { time: 22080, lane: 2 }
  { time: 22320, lane: 0 }
  { time: 22560, lane: 1 }
  { time: 22800, lane: 1 }
  { time: 23040, lane: 2 }
  { time: 23280, lane: 0 }
  { time: 23520, lane: 1 }
  { time: 23760, lane: 2 }
  { time: 24000, lane: 2 }
  { time: 24240, lane: 1 }
  { time: 24480, lane: 3 }
  { time: 24720, lane: 1 }
  { time: 25200, lane: 0 }
  { time: 25200, lane: 1 }
