[
  { time: 456, lane: 0 }
  { time: 456, lane: 1 }
  { time: 456, lane: 2 }
  { time: 648, lane: 1 }
  { time: 648, lane: 2 }
  { time: 832, lane: 1 }
  { time: 832, lane: 2 }
  { time: 1016, lane: 1 }
  { time: 1016, lane: 2 }
  { time: 1080, lane: 3 }
  { time: 1216, lane: 0 }
  { time: 1216, lane: 1 }
  { time: 1216, lane: 2 }
  { time: 1408, lane: 1 }
  { time: 1408, lane: 2 }
  { time: 1600, lane: 1 }
  { time: 1600, lane: 2 }
  { time: 1752, lane: 1 }
  { time: 1752, lane: 2 }
  { time: 1792, lane: 2 }
  { time: 1792, lane: 3 }
  { time: 1864, lane: 3 }
  { time: 1976, lane: 1 }
  { time: 1976, lane: 2 }
  { time: 1976, lane: 3 }
  { time: 2168, lane: 1 }
  { time: 2168, lane: 3 }
  { time: 2360, lane: 1 }
  { time: 2360, lane: 3 }
  { time: 2552, lane: 1 }
  { time: 2552, lane: 3 }
  { time: 2608, lane: 3 }
  { time: 2744, lane: 1 }
  { time: 2744, lane: 2 }
  { time: 2744, lane: 3 }
  { time: 2928, lane: 1 }
  { time: 2928, lane: 3 }
  { time: 3120, lane: 1 }
  { time: 3120, lane: 3 }
  { time: 3272, lane: 1 }
  { time: 3272, lane: 3 }
  { time: 3312, lane: 2 }
  { time: 3312, lane: 3 }
  { time: 3376, lane: 3 }
  { time: 3464, lane: 0 }
  { time: 3480, lane: 1 }
  { time: 3600, lane: 2 }
  { time: 3696, lane: 1 }
  { time: 3696, lane: 2 }
  { time: 3880, lane: 1 }
  { time: 3880, lane: 2 }
  { time: 4064, lane: 1 }
  { time: 4064, lane: 2 }
  { time: 4128, lane: 3 }
  { time: 4240, lane: 3 }
  { time: 4320, lane: 0 }
  { time: 4320, lane: 1 }
  { time: 4360, lane: 1 }
  { time: 4416, lane: 1 }
  { time: 4440, lane: 2 }
  { time: 4480, lane: 2 }
  { time: 4520, lane: 3 }
  { time: 4568, lane: 1 }
  { time: 4616, lane: 0 }
  { time: 4712, lane: 2 }
  { time: 4712, lane: 3 }
  { time: 4752, lane: 1 }
  { time: 4752, lane: 2 }
  { time: 4792, lane: 1 }
  { time: 4816, lane: 2 }
  { time: 4856, lane: 2 }
  { time: 4896, lane: 2 }
  { time: 4944, lane: 0 }
  { time: 4944, lane: 1 }
  { time: 5000, lane: 2 }
  { time: 5000, lane: 3 }
  { time: 5160, lane: 1 }
  { time: 5160, lane: 2 }
  { time: 5224, lane: 1 }
  { time: 5224, lane: 3 }
  { time: 5416, lane: 1 }
  { time: 5416, lane: 3 }
  { time: 5608, lane: 1 }
  { time: 5608, lane: 3 }
  { time: 5664, lane: 3 }
  { time: 5752, lane: 0 }
  { time: 5752, lane: 1 }
  { time: 5784, lane: 2 }
  { time: 5784, lane: 3 }
  { time: 5816, lane: 2 }
  { time: 5816, lane: 3 }
  { time: 5880, lane: 1 }
  { time: 5920, lane: 0 }
  { time: 5960, lane: 0 }
  { time: 6080, lane: 1 }
  { time: 6128, lane: 2 }
  { time: 6224, lane: 2 }
  { time: 6248, lane: 3 }
  { time: 6344, lane: 3 }
  { time: 6392, lane: 1 }
  { time: 6424, lane: 2 }
  { time: 6464, lane: 2 }
  { time: 6480, lane: 3 }
  { time: 6640, lane: 2 }
  { time: 6752, lane: 1 }
  { time: 6752, lane: 2 }
  { time: 6936, lane: 1 }
  { time: 6936, lane: 2 }
  { time: 7120, lane: 1 }
  { time: 7120, lane: 2 }
  { time: 7184, lane: 3 }
  { time: 7280, lane: 0 }
  { time: 7280, lane: 1 }
  { time: 7320, lane: 1 }
  { time: 7368, lane: 3 }
  { time: 7416, lane: 3 }
  { time: 7504, lane: 2 }
  { time: 7600, lane: 1 }
  { time: 7616, lane: 0 }
  { time: 7800, lane: 1 }
  { time: 7800, lane: 3 }
  { time: 7856, lane: 2 }
  { time: 7856, lane: 3 }
  { time: 8024, lane: 0 }
  { time: 8040, lane: 1 }
  { time: 8160, lane: 0 }
  { time: 8264, lane: 1 }
  { time: 8264, lane: 3 }
  { time: 8456, lane: 1 }
  { time: 8456, lane: 3 }
  { time: 8648, lane: 1 }
  { time: 8648, lane: 3 }
  { time: 8704, lane: 3 }
  { time: 8800, lane: 0 }
  { time: 8824, lane: 2 }
  { time: 8952, lane: 0 }
  { time: 9032, lane: 0 }
  { time: 9032, lane: 1 }
  { time: 9032, lane: 3 }
  { time: 9216, lane: 0 }
  { time: 9216, lane: 1 }
  { time: 9216, lane: 3 }
  { time: 9376, lane: 0 }
  { time: 9376, lane: 1 }
  { time: 9376, lane: 3 }
  { time: 9416, lane: 1 }
  { time: 9416, lane: 2 }
  { time: 9416, lane: 3 }
  { time: 9472, lane: 2 }
  { time: 9472, lane: 3 }
  { time: 9552, lane: 2 }
  { time: 9552, lane: 3 }
  { time: 9600, lane: 0 }
  { time: 9600, lane: 1 }
  { time: 9856, lane: 0 }
  { time: 9928, lane: 0 }
  { time: 9928, lane: 2 }
  { time: 10000, lane: 0 }
  { time: 10000, lane: 1 }
  { time: 10240, lane: 0 }
  { time: 10240, lane: 1 }
  { time: 10304, lane: 1 }
  { time: 10304, lane: 2 }
  { time: 10376, lane: 0 }
  { time: 10376, lane: 2 }
  { time: 10616, lane: 2 }
  { time: 10616, lane: 3 }
  { time: 10688, lane: 1 }
  { time: 10688, lane: 3 }
  { time: 10752, lane: 3 }
  { time: 11032, lane: 3 }
  { time: 11056, lane: 1 }
  { time: 11136, lane: 0 }
  { time: 11136, lane: 2 }
  { time: 11320, lane: 3 }
  { time: 11504, lane: 1 }
  { time: 11504, lane: 2 }
  { time: 11560, lane: 0 }
  { time: 11560, lane: 1 }
  { time: 11632, lane: 1 }
  { time: 11648, lane: 2 }
  { time: 11752, lane: 2 }
  { time: 11752, lane: 3 }
  { time: 11808, lane: 1 }
  { time: 11808, lane: 2 }
  { time: 11864, lane: 3 }
  { time: 12640, lane: 0 }
  { time: 12640, lane: 1 }
  { time: 12896, lane: 2 }
  { time: 12952, lane: 0 }
  { time: 12952, lane: 1 }
  { time: 13032, lane: 2 }
  { time: 13032, lane: 3 }
  { time: 13320, lane: 1 }
  { time: 13368, lane: 0 }
  { time: 13368, lane: 1 }
  { time: 13416, lane: 0 }
  { time: 13520, lane: 3 }
  { time: 13576, lane: 3 }
  { time: 13600, lane: 2 }
  { time: 13680, lane: 1 }
  { time: 13752, lane: 0 }
  { time: 13752, lane: 1 }
  { time: 14072, lane: 0 }
  { time: 14072, lane: 1 }
  { time: 14160, lane: 2 }
  { time: 14416, lane: 2 }
  { time: 14416, lane: 3 }
  { time: 14480, lane: 1 }
  { time: 14480, lane: 2 }
  { time: 14560, lane: 0 }
  { time: 14560, lane: 2 }
