[
  { time: 1536, lane: 3 }
  { time: 1920, lane: 0 }
  { time: 2112, lane: 2 }
  { time: 2304, lane: 0 }
  { time: 2688, lane: 3 }
  { time: 3072, lane: 1 }
  { time: 3264, lane: 2 }
  { time: 3456, lane: 1 }
  { time: 3840, lane: 3 }
  { time: 4224, lane: 0 }
  { time: 4416, lane: 2 }
  { time: 4608, lane: 0 }
  { time: 4992, lane: 0 }
  { time: 5472, lane: 3 }
  { time: 5952, lane: 0 }
  { time: 6144, lane: 2 }
  { time: 6336, lane: 0 }
  { time: 6720, lane: 3 }
  { time: 7104, lane: 1 }
  { time: 7296, lane: 0 }
  { time: 7776, lane: 3 }
  { time: 8256, lane: 0 }
  { time: 8448, lane: 1 }
  { time: 8640, lane: 0 }
  { time: 9408, lane: 0 }
  { time: 9600, lane: 1 }
  { time: 9792, lane: 0 }
  { time: 10176, lane: 3 }
  { time: 10560, lane: 0 }
  { time: 10752, lane: 2 }
  { time: 10944, lane: 0 }
  { time: 11328, lane: 3 }
  { time: 11712, lane: 1 }
  { time: 11904, lane: 2 }
  { time: 12096, lane: 1 }
  { time: 12480, lane: 3 }
  { time: 12864, lane: 0 }
  { time: 13056, lane: 2 }
  { time: 13248, lane: 0 }
  { time: 13632, lane: 0 }
  { time: 14112, lane: 3 }
  { time: 14592, lane: 0 }
  { time: 14784, lane: 2 }
  { time: 14976, lane: 0 }
  { time: 15360, lane: 3 }
  { time: 15744, lane: 1 }
  { time: 15936, lane: 0 }
  { time: 16416, lane: 3 }
  { time: 16896, lane: 0 }
  { time: 17088, lane: 1 }
  { time: 17280, lane: 0 }
  { time: 18048, lane: 0 }
  { time: 18240, lane: 1 }
  { time: 18432, lane: 0 }
  { time: 18816, lane: 3 }
  { time: 19200, lane: 0 }
  { time: 19392, lane: 2 }
  { time: 19584, lane: 0 }
  { time: 19968, lane: 3 }
  { time: 20352, lane: 1 }
  { time: 20544, lane: 2 }
  { time: 20736, lane: 1 }
  { time: 21120, lane: 3 }
  { time: 21504, lane: 0 }
  { time: 21696, lane: 2 }
  { time: 21888, lane: 0 }
  { time: 22272, lane: 0 }
  { time: 22752, lane: 3 }
  { time: 23232, lane: 0 }
  { time: 23424, lane: 2 }
  { time: 23616, lane: 0 }
  { time: 24000, lane: 3 }
  { time: 24384, lane: 1 }
  { time: 24576, lane: 0 }
  { time: 25056, lane: 3 }
