[
  { time: 1152, lane: 2 }
  { time: 1344, lane: 2 }
  { time: 1440, lane: 2 }
  { time: 1536, lane: 2 }
  { time: 1728, lane: 2 }
  { time: 1824, lane: 2 }
  { time: 1920, lane: 2 }
  { time: 2112, lane: 2 }
  { time: 2208, lane: 2 }
  { time: 2304, lane: 2 }
  { time: 2496, lane: 2 }
  { time: 2688, lane: 1 }
  { time: 2880, lane: 1 }
  { time: 2976, lane: 1 }
  { time: 3072, lane: 1 }
  { time: 3264, lane: 1 }
  { time: 3360, lane: 1 }
  { time: 3456, lane: 1 }
  { time: 3648, lane: 1 }
  { time: 3744, lane: 1 }
  { time: 3840, lane: 1 }
  { time: 4032, lane: 1 }
  { time: 4224, lane: 0 }
  { time: 4416, lane: 0 }
  { time: 4512, lane: 0 }
  { time: 4608, lane: 0 }
  { time: 4800, lane: 0 }
  { time: 4896, lane: 0 }
  { time: 4992, lane: 0 }
  { time: 5184, lane: 0 }
  { time: 5280, lane: 0 }
  { time: 5376, lane: 0 }
  { time: 5568, lane: 2 }
  { time: 5664, lane: 3 }
  { time: 6528, lane: 0 }
  { time: 6624, lane: 1 }
  { time: 6720, lane: 2 }
  { time: 6912, lane: 1 }
  { time: 7008, lane: 2 }
  { time: 7104, lane: 3 }
  { time: 7296, lane: 2 }
  { time: 7488, lane: 2 }
  { time: 7584, lane: 2 }
  { time: 7680, lane: 2 }
  { time: 7872, lane: 2 }
  { time: 7968, lane: 2 }
  { time: 8064, lane: 2 }
  { time: 8256, lane: 2 }
  { time: 8352, lane: 2 }
  { time: 8448, lane: 2 }
  { time: 8640, lane: 2 }
  { time: 8832, lane: 1 }
  { time: 9024, lane: 1 }
  { time: 9120, lane: 1 }
  { time: 9216, lane: 1 }
  { time: 9408, lane: 1 }
  { time: 9504, lane: 1 }
  { time: 9600, lane: 1 }
  { time: 9792, lane: 1 }
  { time: 9888, lane: 1 }
  { time: 9984, lane: 1 }
  { time: 10176, lane: 1 }
  { time: 10368, lane: 0 }
  { time: 10560, lane: 0 }
  { time: 10656, lane: 0 }
  { time: 10752, lane: 0 }
  { time: 10944, lane: 0 }
  { time: 11040, lane: 0 }
  { time: 11136, lane: 0 }
  { time: 11328, lane: 0 }
  { time: 11424, lane: 0 }
  { time: 11520, lane: 0 }
  { time: 11712, lane: 0 }
  { time: 11808, lane: 0 }
  { time: 11904, lane: 2 }
  { time: 12096, lane: 2 }
  { time: 12192, lane: 2 }
  { time: 12288, lane: 2 }
  { time: 12480, lane: 2 }
  { time: 12576, lane: 2 }
  { time: 12672, lane: 0 }
  { time: 12768, lane: 1 }
  { time: 12864, lane: 2 }
  { time: 13056, lane: 1 }
  { time: 13152, lane: 2 }
  { time: 13248, lane: 3 }
  { time: 13440, lane: 2 }
  { time: 13632, lane: 2 }
  { time: 13728, lane: 2 }
  { time: 13824, lane: 2 }
  { time: 14016, lane: 2 }
  { time: 14112, lane: 2 }
  { time: 14208, lane: 2 }
  { time: 14400, lane: 2 }
  { time: 14496, lane: 2 }
  { time: 14592, lane: 2 }
  { time: 14784, lane: 2 }
  { time: 14976, lane: 1 }
  { time: 15168, lane: 1 }
  { time: 15264, lane: 1 }
  { time: 15360, lane: 1 }
  { time: 15552, lane: 1 }
  { time: 15648, lane: 1 }
  { time: 15744, lane: 1 }
  { time: 15936, lane: 1 }
  { time: 16032, lane: 1 }
  { time: 16128, lane: 1 }
  { time: 16320, lane: 1 }
  { time: 16512, lane: 0 }
  { time: 16704, lane: 0 }
  { time: 16800, lane: 0 }
  { time: 16896, lane: 0 }
  { time: 17088, lane: 0 }
  { time: 17184, lane: 0 }
  { time: 17280, lane: 0 }
  { time: 17472, lane: 0 }
  { time: 17568, lane: 0 }
  { time: 17664, lane: 0 }
  { time: 17856, lane: 0 }
  { time: 17952, lane: 0 }
  { time: 18048, lane: 2 }
  { time: 18240, lane: 2 }
  { time: 18336, lane: 2 }
  { time: 18432, lane: 2 }
  { time: 18624, lane: 2 }
  { time: 18720, lane: 2 }
  { time: 18816, lane: 0 }
  { time: 18912, lane: 1 }
  { time: 19008, lane: 2 }
  { time: 19200, lane: 1 }
  { time: 19296, lane: 2 }
  { time: 19392, lane: 3 }
  { time: 19584, lane: 2 }
  { time: 19776, lane: 2 }
  { time: 19872, lane: 2 }
  { time: 19968, lane: 2 }
  { time: 20160, lane: 2 }
  { time: 20256, lane: 2 }
  { time: 20352, lane: 2 }
