[
  { time: 1344, lane: 1 }
  { time: 1344, lane: 2 }
  { time: 1344, lane: 3 }
  { time: 1356, lane: 2 }
  { time: 1368, lane: 0 }
  { time: 1380, lane: 1 }
  { time: 1392, lane: 2 }
  { time: 1404, lane: 1 }
  { time: 1416, lane: 0 }
  { time: 1440, lane: 1 }
  { time: 1440, lane: 2 }
  { time: 1452, lane: 2 }
  { time: 1464, lane: 0 }
  { time: 1476, lane: 1 }
  { time: 1488, lane: 2 }
  { time: 1500, lane: 1 }
  { time: 1512, lane: 0 }
  { time: 1536, lane: 1 }
  { time: 1536, lane: 2 }
  { time: 1536, lane: 3 }
  { time: 1548, lane: 2 }
  { time: 1560, lane: 0 }
  { time: 1572, lane: 1 }
  { time: 1584, lane: 2 }
  { time: 1596, lane: 1 }
  { time: 1608, lane: 0 }
  { time: 1632, lane: 1 }
  { time: 1632, lane: 2 }
  { time: 1632, lane: 3 }
  { time: 1644, lane: 2 }
  { time: 1656, lane: 0 }
  { time: 1668, lane: 1 }
  { time: 1680, lane: 2 }
  { time: 1692, lane: 1 }
  { time: 1704, lane: 0 }
  { time: 1728, lane: 1 }
  { time: 1728, lane: 2 }
  { time: 1740, lane: 2 }
  { time: 1752, lane: 0 }
  { time: 1764, lane: 1 }
  { time: 1776, lane: 2 }
  { time: 1788, lane: 1 }
  { time: 1800, lane: 0 }
  { time: 1824, lane: 1 }
  { time: 1824, lane: 2 }
  { time: 1836, lane: 3 }
  { time: 1848, lane: 1 }
  { time: 1860, lane: 2 }
  { time: 1872, lane: 0 }
  { time: 1920, lane: 2 }
  { time: 1920, lane: 3 }
  { time: 1932, lane: 3 }
  { time: 1944, lane: 1 }
  { time: 1956, lane: 2 }
  { time: 1968, lane: 3 }
  { time: 1980, lane: 2 }
  { time: 1992, lane: 1 }
  { time: 2016, lane: 2 }
  { time: 2016, lane: 3 }
  { time: 2028, lane: 3 }
  { time: 2040, lane: 1 }
  { time: 2052, lane: 2 }
  { time: 2064, lane: 3 }
  { time: 2076, lane: 2 }
  { time: 2088, lane: 1 }
  { time: 2112, lane: 2 }
  { time: 2112, lane: 3 }
  { time: 2124, lane: 3 }
  { time: 2136, lane: 0 }
  { time: 2148, lane: 1 }
  { time: 2160, lane: 2 }
  { time: 2172, lane: 1 }
  { time: 2184, lane: 0 }
  { time: 2208, lane: 1 }
  { time: 2208, lane: 2 }
  { time: 2220, lane: 2 }
  { time: 2232, lane: 0 }
  { time: 2244, lane: 1 }
  { time: 2256, lane: 2 }
  { time: 2268, lane: 1 }
  { time: 2280, lane: 0 }
  { time: 2304, lane: 2 }
  { time: 2304, lane: 3 }
  { time: 2316, lane: 3 }
  { time: 2328, lane: 0 }
  { time: 2340, lane: 1 }
  { time: 2352, lane: 2 }
  { time: 2364, lane: 1 }
  { time: 2376, lane: 0 }
  { time: 2400, lane: 1 }
  { time: 2400, lane: 2 }
  { time: 2400, lane: 3 }
  { time: 2412, lane: 2 }
  { time: 2424, lane: 0 }
  { time: 2436, lane: 1 }
  { time: 2448, lane: 2 }
  { time: 2460, lane: 1 }
  { time: 2472, lane: 0 }
  { time: 2496, lane: 1 }
  { time: 2496, lane: 2 }
  { time: 2508, lane: 2 }
  { time: 2520, lane: 0 }
  { time: 2532, lane: 1 }
  { time: 2544, lane: 2 }
  { time: 2556, lane: 1 }
  { time: 2568, lane: 0 }
  { time: 2592, lane: 1 }
  { time: 2592, lane: 2 }
  { time: 2592, lane: 3 }
  { time: 2604, lane: 2 }
  { time: 2616, lane: 0 }
  { time: 2628, lane: 1 }
  { time: 2640, lane: 2 }
  { time: 2652, lane: 1 }
  { time: 2664, lane: 0 }
  { time: 2688, lane: 0 }
  { time: 2688, lane: 1 }
  { time: 2688, lane: 2 }
  { time: 2700, lane: 2 }
  { time: 2712, lane: 0 }
  { time: 2724, lane: 1 }
  { time: 2736, lane: 2 }
  { time: 2748, lane: 1 }
  { time: 2760, lane: 0 }
  { time: 2784, lane: 2 }
  { time: 2880, lane: 1 }
  { time: 2880, lane: 2 }
  { time: 2880, lane: 3 }
  { time: 2892, lane: 2 }
  { time: 2904, lane: 0 }
  { time: 2916, lane: 1 }
  { time: 2928, lane: 2 }
  { time: 2940, lane: 1 }
  { time: 2952, lane: 0 }
  { time: 2976, lane: 1 }
  { time: 2976, lane: 2 }
  { time: 2988, lane: 2 }
  { time: 3000, lane: 0 }
  { time: 3012, lane: 1 }
  { time: 3024, lane: 2 }
  { time: 3036, lane: 1 }
  { time: 3048, lane: 0 }
  { time: 3072, lane: 1 }
  { time: 3072, lane: 2 }
  { time: 3072, lane: 3 }
  { time: 3084, lane: 2 }
  { time: 3096, lane: 0 }
  { time: 3108, lane: 1 }
  { time: 3120, lane: 2 }
  { time: 3132, lane: 1 }
  { time: 3144, lane: 0 }
  { time: 3168, lane: 1 }
  { time: 3168, lane: 2 }
  { time: 3168, lane: 3 }
  { time: 3180, lane: 2 }
  { time: 3192, lane: 0 }
  { time: 3204, lane: 1 }
  { time: 3216, lane: 2 }
  { time: 3228, lane: 1 }
  { time: 3240, lane: 0 }
  { time: 3264, lane: 1 }
  { time: 3264, lane: 2 }
  { time: 3276, lane: 2 }
  { time: 3288, lane: 0 }
  { time: 3300, lane: 1 }
  { time: 3312, lane: 2 }
  { time: 3324, lane: 1 }
  { time: 3336, lane: 0 }
  { time: 3360, lane: 1 }
