[
  { time: 17280, lane: 2 }
  { time: 19680, lane: 2 }
  { time: 21120, lane: 0 }
  { time: 23520, lane: 0 }
  { time: 24960, lane: 2 }
  { time: 27360, lane: 2 }
  { time: 28800, lane: 1 }
  { time: 31200, lane: 1 }
  { time: 32640, lane: 2 }
  { time: 35040, lane: 2 }
  { time: 36480, lane: 0 }
  { time: 38880, lane: 0 }
  { time: 40320, lane: 2 }
  { time: 42720, lane: 2 }
  { time: 44160, lane: 1 }
  { time: 46560, lane: 1 }
  { time: 48000, lane: 2 }
  { time: 50400, lane: 2 }
  { time: 51840, lane: 0 }
  { time: 54240, lane: 0 }
  { time: 55680, lane: 2 }
  { time: 58080, lane: 2 }
  { time: 59520, lane: 1 }
  { time: 61920, lane: 1 }
  { time: 63360, lane: 2 }
  { time: 65760, lane: 2 }
  { time: 67200, lane: 0 }
  { time: 69600, lane: 0 }
  { time: 71040, lane: 2 }
  { time: 73440, lane: 2 }
  { time: 74880, lane: 1 }
  { time: 77280, lane: 1 }
  { time: 78720, lane: 2 }
  { time: 81120, lane: 2 }
  { time: 82560, lane: 0 }
  { time: 84960, lane: 0 }
  { time: 86400, lane: 2 }
  { time: 88800, lane: 2 }
  { time: 90240, lane: 1 }
  { time: 92640, lane: 1 }
  { time: 94080, lane: 2 }
  { time: 96480, lane: 2 }
  { time: 97920, lane: 0 }
  { time: 100320, lane: 0 }
  { time: 101760, lane: 2 }
  { time: 104160, lane: 2 }
  { time: 105600, lane: 1 }
  { time: 108000, lane: 1 }
  { time: 109440, lane: 2 }
  { time: 111840, lane: 2 }
  { time: 113280, lane: 0 }
  { time: 115680, lane: 0 }
  { time: 117120, lane: 2 }
  { time: 119520, lane: 2 }
  { time: 120960, lane: 1 }
  { time: 123360, lane: 1 }
  { time: 124800, lane: 2 }
  { time: 127200, lane: 2 }
  { time: 128640, lane: 0 }
  { time: 131040, lane: 0 }
  { time: 132480, lane: 2 }
  { time: 134880, lane: 2 }
  { time: 136320, lane: 1 }
  { time: 138720, lane: 1 }
  { time: 144000, lane: 2 }
  { time: 146400, lane: 2 }
  { time: 147840, lane: 0 }
  { time: 150240, lane: 0 }
  { time: 151680, lane: 2 }
  { time: 154080, lane: 2 }
  { time: 155520, lane: 1 }
  { time: 157920, lane: 1 }
  { time: 159360, lane: 2 }
  { time: 161760, lane: 2 }
  { time: 163200, lane: 0 }
  { time: 165600, lane: 0 }
  { time: 167040, lane: 2 }
  { time: 169440, lane: 2 }
  { time: 170880, lane: 1 }
  { time: 173280, lane: 1 }
  { time: 2000, lane: 0 }
  { time: 3040, lane: 2 }
  { time: 3839, lane: 2 }
  { time: 4240, lane: 2 }
  { time: 4640, lane: 2 }
  { time: 5120, lane: 3 }
  { time: 5519, lane: 0 }
  { time: 5840, lane: 0 }
  { time: 6239, lane: 1 }
  { time: 6719, lane: 2 }
  { time: 7080, lane: 2 }
  { time: 7919, lane: 0 }
  { time: 8159, lane: 0 }
  { time: 8640, lane: 2 }
  { time: 10559, lane: 1 }
  { time: 10840, lane: 2 }
  { time: 11280, lane: 2 }
  { time: 11759, lane: 1 }
  { time: 13040, lane: 0 }
  { time: 13360, lane: 2 }
  { time: 13800, lane: 2 }
  { time: 14280, lane: 1 }
  { time: 14720, lane: 0 }
  { time: 15280, lane: 2 }
  { time: 15720, lane: 1 }
  { time: 16040, lane: 2 }
  { time: 16480, lane: 3 }
  { time: 16640, lane: 2 }
  { time: 16919, lane: 3 }
  { time: 17279, lane: 2 }
  { time: 17999, lane: 1 }
  { time: 18719, lane: 3 }
  { time: 21119, lane: 1 }
  { time: 21839, lane: 0 }
  { time: 22559, lane: 2 }
  { time: 24959, lane: 2 }
  { time: 25679, lane: 1 }
  { time: 26399, lane: 3 }
  { time: 28799, lane: 3 }
  { time: 29519, lane: 2 }
  { time: 32639, lane: 2 }
  { time: 33359, lane: 1 }
  { time: 34079, lane: 3 }
  { time: 36479, lane: 1 }
  { time: 37199, lane: 0 }
  { time: 37919, lane: 2 }
  { time: 40319, lane: 2 }
  { time: 41039, lane: 1 }
  { time: 41759, lane: 3 }
  { time: 44159, lane: 3 }
  { time: 44879, lane: 2 }
  { time: 47999, lane: 2 }
  { time: 48719, lane: 1 }
  { time: 49439, lane: 3 }
  { time: 51839, lane: 1 }
  { time: 52559, lane: 0 }
  { time: 53279, lane: 2 }
  { time: 55679, lane: 2 }
  { time: 56399, lane: 1 }
  { time: 57119, lane: 3 }
  { time: 59519, lane: 3 }
  { time: 60239, lane: 2 }
  { time: 63359, lane: 2 }
  { time: 64079, lane: 1 }
  { time: 64799, lane: 3 }
  { time: 67199, lane: 1 }
  { time: 67919, lane: 0 }
  { time: 68639, lane: 2 }
  { time: 71039, lane: 2 }
  { time: 71759, lane: 1 }
  { time: 72479, lane: 3 }
  { time: 74879, lane: 3 }
  { time: 75599, lane: 2 }
  { time: 78719, lane: 2 }
  { time: 79439, lane: 1 }
  { time: 80159, lane: 3 }
  { time: 82559, lane: 1 }
  { time: 83279, lane: 0 }
  { time: 83999, lane: 2 }
  { time: 86399, lane: 2 }
  { time: 87119, lane: 1 }
  { time: 87839, lane: 3 }
  { time: 90239, lane: 3 }
  { time: 90959, lane: 2 }
  { time: 94079, lane: 2 }
  { time: 94799, lane: 1 }
  { time: 95519, lane: 3 }
  { time: 97919, lane: 1 }
  { time: 98639, lane: 0 }
  { time: 99359, lane: 2 }
  { time: 101759, lane: 2 }
  { time: 102479, lane: 1 }
  { time: 103199, lane: 3 }
  { time: 105599, lane: 3 }
  { time: 106319, lane: 2 }
  { time: 109439, lane: 2 }
  { time: 110159, lane: 1 }
